id,year,team,average_age,runs_per_game,wins,losses,win_loss_percentage,ERA,run_average_9,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk
184,2001,Doosan Bears,27.5,5.51,65,63,0.508,4.96,5.59,133,133.0,132.0,1,3,35,1180.1,1290,733,650,128,546,17.0,799,60,0.0,47.0,5282,1.555,9.8,1.0,4.2,6.1,1.46
186,2000,Lotte Giants,25.8,3.98,59,58,0.504,4.03,4.39,133,,,6,1,33,1085.1,1029,529,486,116,397,,839,53,,,4612,1.314,8.5,1.0,3.3,7.0,2.11
187,2000,Doosan Bears,26.1,4.29,72,51,0.585,4.1,4.61,133,,,3,1,52,1111.2,1116,570,507,98,487,,808,56,,,4866,1.442,9.0,0.8,3.9,6.5,1.66
188,2000,LG Twins,26.8,4.74,67,63,0.515,4.45,4.79,133,,,7,1,33,1185.2,1197,631,586,113,449,,886,61,,,5127,1.388,9.1,0.9,3.4,6.7,1.97
189,2000,Samsung Lions,25.6,5.04,69,59,0.539,4.64,5.09,133,,,6,2,34,1184.1,1233,670,610,130,524,,880,77,,,5229,1.484,9.4,1.0,4.0,6.7,1.68
191,2000,Hanwha Eagles,27.4,5.83,50,78,0.391,5.24,5.91,133,,,7,2,31,1182.2,1248,776,689,189,527,,805,83,,,5296,1.501,9.5,1.4,4.0,6.1,1.53
193,1999,Lotte Giants,26.5,4.47,75,52,0.591,4.18,4.51,132,,,15,2,34,1177.9,1125,590,547,146,431,,852,54,,,5002,1.321,8.6,1.1,3.3,6.5,1.98
194,1999,Doosan Bears,24.5,4.73,74,48,0.607,4.6,5.0,132,,,4,1,40,1124.1,1139,625,575,125,478,,790,70,,,4904,1.438,9.1,1.0,3.8,6.3,1.65
196,1999,Hanwha Eagles,28.3,4.96,70,56,0.556,4.82,5.31,132,,,13,3,42,1109.1,1133,655,594,165,392,,841,54,,,4823,1.375,9.2,1.3,3.2,6.8,2.15
198,1999,Samsung Lions,24.1,5.27,70,53,0.569,5.03,5.5,132,,,4,1,40,1136.2,1212,695,635,145,468,,904,57,,,5041,1.478,9.6,1.1,3.7,7.2,1.93
199,1999,LG Twins,28.7,5.86,61,70,0.466,5.49,5.99,132,,,2,1,40,1161.1,1301,773,708,157,511,,813,78,,,5236,1.56,10.1,1.2,4.0,6.3,1.59
205,1998,Hanwha Eagles,26.9,4.59,55,66,0.455,4.26,4.65,126,,,8,2,30,1118.8,1105,578,529,114,405,,840,40,,,4783,1.35,8.9,0.9,3.3,6.8,2.07
206,1998,LG Twins,28.7,4.62,61,62,0.496,4.22,4.75,126,,,3,1,31,1102.2,1120,582,517,109,342,,677,78,,,4735,1.326,9.1,0.9,2.8,5.5,1.98
207,1998,Samsung Lions,25.9,4.63,66,58,0.532,4.32,4.66,126,,,10,0,26,1128.1,1120,584,541,133,477,,723,69,,,4894,1.416,8.9,1.1,3.8,5.8,1.52
208,1998,Lotte Giants,24.9,5.08,50,72,0.41,4.6,5.22,126,,,20,4,17,1104.1,1134,640,564,115,375,,689,73,,,4763,1.367,9.2,0.9,3.1,5.6,1.84
211,1997,LG Twins,27.7,4.06,73,51,0.589,3.78,4.11,126,,,4,1,45,1121.1,1045,512,471,101,369,,708,74,,,4713,1.261,8.4,0.8,3.0,5.7,1.92
212,1997,Hanwha Eagles,25.2,4.35,51,73,0.411,4.02,4.44,126,,,20,7,29,1112.1,1016,548,497,128,410,,789,50,,,4663,1.282,8.2,1.0,3.3,6.4,1.92
215,1997,Samsung Lions,25.5,4.75,66,53,0.555,4.19,4.77,126,,,9,2,38,1127.8,1098,598,525,97,490,,677,94,,,4891,1.408,8.8,0.8,3.9,5.4,1.38
216,1997,Lotte Giants,24.5,4.95,48,77,0.384,4.61,5.05,126,,,9,0,25,1111.9,1159,624,569,116,463,,638,47,,,4842,1.459,9.4,0.9,3.7,5.2,1.38
221,1996,Hanwha Eagles,25.9,4.25,70,55,0.56,3.8,4.23,126,,,21,7,31,1137.1,1030,535,480,100,352,,951,56,,,4759,1.215,8.2,0.8,2.8,7.5,2.7
222,1996,Lotte Giants,24.7,4.6,57,63,0.475,4.16,4.66,126,,,22,2,17,1120.8,1127,580,518,93,397,,684,55,,,4786,1.36,9.1,0.7,3.2,5.5,1.72
223,1996,Samsung Lions,24.7,4.61,54,67,0.446,4.23,4.68,126,,,11,2,29,1117.1,1085,581,525,88,527,,654,102,,,4901,1.443,8.7,0.7,4.2,5.3,1.24
224,1996,LG Twins,29.0,4.68,50,71,0.413,4.11,4.72,126,,,7,1,29,1124.1,1107,590,514,86,419,,651,89,,,4847,1.357,8.9,0.7,3.4,5.2,1.55
226,1995,LG Twins,28.9,3.62,74,48,0.607,3.21,3.66,126,,,22,5,40,1122.1,996,456,400,62,322,,607,58,,,4637,1.174,8.0,0.5,2.6,4.9,1.89
227,1995,Lotte Giants,24.5,3.91,68,53,0.562,3.47,3.9,126,,,19,5,28,1137.1,1049,493,439,83,328,,642,53,,,4658,1.211,8.3,0.7,2.6,5.1,1.96
229,1995,Samsung Lions,23.9,4.23,59,59,0.5,3.89,4.47,126,,,18,5,28,1074.1,973,533,464,76,432,,659,89,,,4619,1.308,8.2,0.6,3.6,5.5,1.53
231,1995,Hanwha Eagles,25.7,4.49,55,71,0.437,4.04,4.55,126,,,36,8,24,1119.0,1091,566,502,102,411,,793,55,,,4812,1.342,8.8,0.8,3.3,6.4,1.93
233,1994,LG Twins,27.4,3.59,81,45,0.643,3.14,3.63,126,,,24,9,46,1120.1,1007,452,391,68,332,,581,60,,,4605,1.196,8.1,0.5,2.7,4.7,1.75
235,1994,Samsung Lions,23.4,3.81,58,59,0.496,3.45,4.0,126,,,26,6,20,1079.0,979,480,414,81,401,,638,52,,,4540,1.279,8.2,0.7,3.3,5.3,1.59
238,1994,Hanwha Eagles,25.7,4.05,65,59,0.524,3.52,4.08,126,,,22,5,29,1123.2,1036,510,440,95,361,,745,40,,,4716,1.243,8.3,0.8,2.9,6.0,2.06
239,1994,Lotte Giants,24.0,4.79,56,67,0.455,4.44,4.89,126,,,14,3,35,1112.1,1156,604,549,101,419,,590,44,,,4791,1.416,9.4,0.8,3.4,4.8,1.41
243,1993,Samsung Lions,24.1,3.37,73,47,0.608,2.91,3.39,126,,,28,11,30,1129.1,979,425,365,70,456,,677,49,,,4691,1.271,7.8,0.6,3.6,5.4,1.48
244,1993,LG Twins,27.0,3.49,66,57,0.537,3.07,3.51,126,,,19,6,36,1126.2,1020,440,384,71,385,,655,64,,,4696,1.247,8.1,0.6,3.1,5.2,1.7
245,1993,Lotte Giants,24.3,3.67,62,63,0.496,3.33,3.71,126,,,44,14,17,1120.5,1088,462,415,57,348,,512,30,,,4669,1.281,8.7,0.5,2.8,4.1,1.47
251,1992,Lotte Giants,23.9,4.61,71,55,0.563,4.28,4.7,126,,,39,6,17,1113.2,1152,581,529,99,410,,581,37,,,4778,1.403,9.3,0.8,3.3,4.7,1.42
254,1992,LG Twins,25.7,4.89,53,70,0.431,4.29,4.9,126,,,22,5,20,1130.2,1171,616,539,83,487,,648,65,,,4967,1.466,9.3,0.7,3.9,5.2,1.33
255,1992,Samsung Lions,23.7,5.05,67,57,0.54,4.55,5.08,126,,,23,6,25,1125.2,1085,636,569,102,636,,640,52,,,4984,1.529,8.7,0.8,5.1,5.1,1.01
259,1991,Lotte Giants,25.2,4.18,61,59,0.508,3.91,4.37,126,,,37,5,13,1085.1,1019,527,472,67,431,,612,51,,,4589,1.336,8.4,0.6,3.6,5.1,1.42
260,1991,Samsung Lions,26.3,4.6,70,55,0.56,4.23,4.62,126,,,14,4,38,1128.2,1131,579,531,108,484,,527,40,,,4860,1.431,9.0,0.9,3.9,4.2,1.09
263,1991,LG Twins,25.8,4.83,53,72,0.424,4.35,4.86,126,,,27,3,24,1124.9,1125,608,544,90,446,,622,70,,,4889,1.396,9.0,0.7,3.6,5.0,1.39
265,1990,LG Twins,26.9,3.81,71,49,0.592,3.38,3.8,120,,,19,5,33,1083.0,981,457,407,49,410,,549,61,,,4550,1.284,8.2,0.4,3.4,4.6,1.34
269,1990,Samsung Lions,25.2,4.65,66,52,0.559,4.13,4.7,120,,,21,3,36,1069.1,1053,558,491,102,512,,475,53,,,4630,1.464,8.9,0.9,4.3,4.0,0.93
270,1990,Lotte Giants,25.4,4.77,44,70,0.386,4.42,4.93,120,,,19,6,20,1045.1,1035,572,513,82,435,,481,54,,,4505,1.407,8.9,0.7,3.7,4.1,1.11
276,1989,Lotte Giants,24.6,4.35,48,67,0.417,3.91,4.37,120,,,37,5,11,1076.1,1072,522,467,68,390,,508,50,,,4569,1.359,9.0,0.6,3.3,4.2,1.3
278,1989,Samsung Lions,27.6,4.9,57,58,0.496,4.42,4.96,120,,,26,6,27,1067.2,1094,588,524,84,516,,470,44,,,4688,1.508,9.2,0.7,4.3,4.0,0.91
281,1988,Lotte Giants,26.7,4.1,57,49,0.538,3.59,4.13,108,,,30,7,18,966.1,961,443,385,55,329,,476,31,,,4086,1.335,9.0,0.5,3.1,4.4,1.45
284,1988,Samsung Lions,27.6,4.56,56,50,0.528,4.18,4.58,108,,,22,9,21,967.0,953,492,449,80,403,,341,40,,,4151,1.402,8.9,0.7,3.8,3.2,0.85
287,1987,Lotte Giants,27.0,3.74,54,49,0.524,3.36,3.73,108,,,51,12,9,975.2,971,404,364,40,331,,504,34,,,4097,1.334,9.0,0.4,3.1,4.6,1.52
290,1987,Samsung Lions,27.7,3.95,64,44,0.593,3.58,4.01,108,,,26,8,30,959.1,926,427,381,62,416,,360,45,,,4078,1.399,8.7,0.6,3.9,3.4,0.87
294,1986,Lotte Giants,27.3,3.33,50,52,0.49,2.74,3.29,108,,,33,6,11,983.2,896,360,299,48,325,,520,49,,,4097,1.241,8.2,0.4,3.0,4.8,1.6
296,1986,Samsung Lions,28.2,3.42,70,37,0.654,2.95,3.44,108,,,34,7,33,966.2,848,369,317,62,385,,388,29,,,4012,1.276,7.9,0.6,3.6,3.6,1.01
300,1985,Samsung Lions,29.3,3.45,77,32,0.706,2.97,3.41,110,,,27,5,41,1001.5,871,379,331,62,368,,496,34,,,4121,1.237,7.8,0.6,3.3,4.5,1.35
303,1985,Lotte Giants,27.1,3.82,59,51,0.536,3.05,3.81,110,,,32,11,15,992.1,936,420,336,60,324,,513,44,,,4131,1.27,8.5,0.5,2.9,4.7,1.58
308,1984,Samsung Lions,28.3,3.79,55,45,0.55,3.35,3.85,100,,,30,6,13,886.2,806,379,330,48,380,,476,44,,,3740,1.338,8.2,0.5,3.9,4.8,1.25
309,1984,Lotte Giants,26.1,3.9,50,48,0.51,3.31,3.99,100,,,26,1,11,880.2,865,390,324,75,300,,454,40,,,3723,1.323,8.8,0.8,3.1,4.6,1.51
315,1983,Samsung Lions,26.1,4.18,46,50,0.479,3.42,4.18,100,,,34,7,12,899.2,833,418,342,65,335,,399,58,,,3785,1.299,8.3,0.7,3.4,4.0,1.19
317,1983,Lotte Giants,26.4,4.64,43,56,0.434,3.79,4.65,100,,,29,4,7,897.8,935,464,378,90,260,,415,47,,,3827,1.331,9.4,0.9,2.6,4.2,1.6
318,1982,Samsung Lions,27.2,3.21,53,26,0.671,2.7,3.28,80,,,23,8,17,704.1,618,257,211,57,187,,305,30,,,2830,1.143,7.9,0.7,2.4,3.9,1.63
321,1982,Lotte Giants,26.3,4.81,31,49,0.388,3.95,4.86,80,,,26,4,4,713.2,763,385,313,69,261,,363,29,,,3080,1.435,9.6,0.9,3.3,4.6,1.39
